strain,strain_rate
0.059052798914500465,1
0.05914411464163583,1
0.05923247676144167,1
0.05929727068732837,1
0.05937089505290359,1
0.05943568001103694,1
0.05952990518571767,1
0.059615289082072184,1
0.05967122630286065,1
0.05975071065552465,1
0.05982724517262924,1
0.059918490211243465,1
0.05999501188898919,1
0.060047985005145216,1
0.06013038205302313,1
0.060215714695900535,1
0.06030986640379379,1
0.0603804743678131,1
0.06045401902931276,1
0.060512850864412396,1
0.06061285704134782,1
0.06069226658729922,1
0.06074814359906996,1
0.060824601819101064,1
0.06089517344933505,1
0.06099220130963822,1
0.06108040028658727,1
0.06113625561542061,1
0.061209744716285076,1
0.06128322841689845,1
0.06136846274522283,1
0.061441934784002034,1
0.06150952429237281,1
0.06158004760476453,1
0.06167407095200618,1
0.06175633412958534,1
0.06182977767723541,1
0.0618973409774641,1
0.06196489971320144,1
0.06205594991864118,1
0.06214111841281102,1
0.06220572415628414,1
0.062276198389171755,1
0.06234960376747011,1
0.06244355478969697,1
0.06253162585723396,1
0.06259033559337977,1
0.06266078272723796,1
0.06273709485562028,1
0.06281927063552936,1
0.06291024308707947,1
0.06297479916138839,1
0.06304228514706899,1
0.06313323731362684,1
0.06321538054800423,1
0.06328285030031311,1
0.06335031550076162,1
0.06341777614996412,1
0.06351162687458992,1
0.06360840121011156,1
0.06367291223125549,1
0.0637432831446404,1
0.06380778546528039,1
0.06389280489520294,1
0.06398954235128858,1
0.06404230429235387,1
0.0641067873289411,1
0.064185919918567,1
0.06426211575362233,1
0.06435881749183825,1
0.06442328012258038,1
0.0644906684301487,1
0.06457855939852937,1
0.06466644264276661,1
0.06472795631859424,1
0.06480118195169911,1
0.06487733092255331,1
0.06496518791485498,1
0.0650559653652129,1
0.06510867107120347,1
0.0651760132088147,1
0.06525506123638813,1
0.0653282482834844,1
0.06540728427856668,1
0.06547753325266789,1
0.0655536307394388,1
0.06564435479059341,1
0.06572629202086826,1
0.06578481450375967,1
0.06586381442333801,1
0.06593403133510989,1
0.06601594483450039,1
0.06610370185292426,1
0.0661768268191367,1
0.06624702175635551,1
0.066340607341904,1
0.06641663918173572,1
0.066489741268833,1
0.06655699046954307,1
0.06663300585977255,1
0.06672070874583841,1
0.06681425001368309,1
0.06687563171581692,1
0.06694870025852652,1
0.0670188410369426,1
0.06709774353249405,1
0.0671854056709804,1
0.0672438428276788,1
0.06731396290834567,1
0.06740452740274352,1
0.0674892416019165,1
0.06756226532443536,1
0.06763236308162796,1
0.06769369458866449,1
0.06778130450265839,1
0.06787182668430487,1
0.06792730397147974,1
0.06799737614584782,1
0.06809371736901804,1
0.06817253510304891,1
0.06825426545132408,1
0.06832139609780298,1
0.06837976691007845,1
0.06846731674057954,1
0.06855194095803853,1
0.0686132160936289,1
0.06868907534557638,1
0.06877076348946297,1
0.06885827909646874,1
0.06894578704516326,1
0.06900703805327187,1
0.06906536885895356,1
0.06914994248398985,1
0.06923450895693295,1
0.06930448959565153,1
0.0693773808870698,1
0.06944443618293263,1
0.0695318928554952,1
0.06962225671584239,1
0.06967180762431013,1
0.06974758661782651,1
0.06983210256734806,1
0.06990786941530841,1
0.06999819930888264,1
0.07006521298989632,1
0.07013222218037769,1
0.07022835795912957,1
0.07030700763168153,1
0.07036526266056345,1
0.07043225174864852,1
0.07050506088535377,1
0.07058368879917723,1
0.07067686943281472,1
0.07074092608220804,1
0.07081371274888737,1
0.07089231639875744,1
0.07096218112321302,1
0.07104659448677195,1
0.07111644843383946,1
0.07118629750167368,1
0.07127069194973326,1
0.07135216948671241,1
0.07141618289463338,1
0.07149473920427306,1
0.07156747102607718,1
0.07164892438680061,1
0.0717332798023957,1
0.07179145180539039,1
0.07187288692491235,1
0.07194849931258404,1
0.07203282946226178,1
0.0721113373472562,1
0.0721694873626824,1
0.07224798452010799,1
0.07232647551621348,1
0.07240496035196624,1
0.07247762600425231,1
0.07255609897834556,1
0.07262003536747264,1
0.07270430890781046,1
0.0727856697256476,1
0.07284959143900378,1
0.07292803523043594,1
0.07300066288446384,1
0.07308199959525212,1
0.07316913873036421,1
0.07323013160728638,1
0.07330564144393062,1
0.07338985722805103,1
0.07346245134999181,1
0.07354084708298117,1
0.07361052701983294,1
0.07367729907023865,1
0.07376438634916459,1
0.07383985585661676,1
0.07390951496239621,1
0.07398787565671197,1
0.07405752445268661,1
0.0741416769428519,1
0.07421711798281343,1
0.07428965207749635,1
0.07436218091136618,1
0.07444340696060484,1
0.07451592464407365,1
0.07459713820678326,1
0.07466964474327924,1
0.07473924607269276,1
0.07482044150143476,1
0.0748929318493766,1
0.07497411480100138,1
0.07504369494285702,1
0.07511037136943106,1
0.07520313117667311,1
0.07527269538591556,1
0.07534805115211651,1
0.07542340124025385,1
0.07549874565118316,1
0.0755740843857599,1
0.07565231475685795,1
0.07572184772710272,1
0.07579716965595915,1
0.07587248591184968,1
0.07594779649562923,1
0.07603758247198904,1
0.07610419266482117,1
0.07617659001626802,1
0.07625477326916565,1
0.07633005506924698,1
0.0764053312024053,1
0.07647481183470704,1
0.07654718236024989,1
0.07662823113139229,1
0.07670927333416373,1
0.07677583880204963,1
0.07685686904373755,1
0.07692053105634682,1
0.07700444297203286,1
0.07709413413071459,1
0.07715488808733466,1
0.07723299489409342,1
0.07731109560065517,1
0.07738919020797312,1
0.07746149459210858,1
0.07753090188279398,1
0.07760608767849757,1
0.07768415925282152,1
0.07776511592947852,1
0.07783450215055934,1
0.07791255589493819,1
0.0779848224487077,1
0.07805708378040001,1
0.0781409003839401,1
0.07821026053656029,1
0.07828828495824376,1
0.07836630329259202,1
0.07844142630656249,1
0.07851365465217489,1
0.07859165540622165,1
0.07865520707808536,1
0.078736085183271,1
0.07881984489691943,1
0.07888627002643671,1
0.07897001716211714,1
0.0790450948386716,1
0.07911727959703553,1
0.07919523328392362,1
0.07925874661019545,1
0.07933668927041804,1
0.07941462585605559,1
0.07949255636805512,1
0.07957336678109804,1
0.07964839917492637,1
0.07971188372655924,1
0.07979267641832716,1
0.07987057747536841,1
0.07993693284880757,1
0.08001482266936873,1
0.08008693746461552,1
0.08017058411238079,1
0.08024557171062066,1
0.08031478604147553,1
0.08038687920894905,1
0.08046473399251595,1
0.0805425827151874,1
